sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,FileName,user,FullName,id,desorb.Start.diff,rowSum,nameBlank,Mixup,kBlank,Cluster
2017-08-25T07:22:12Z,2017-08-25T14:28:17Z,2017-08-25T14:23:23Z,2017-08-25T14:23:23Z,Desorbed NA,1,1,NA,1,NA,294,Blank_08252017.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Blank_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,34639,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T15:01:55Z,2017-08-25T15:05:50Z,2017-08-25T15:01:55Z,Leak-test failure High Pressure Leak Failure,2,2,NA,2,NA,234.5,HVleafJul30redo_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HVleafJul30redo_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2018.5,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T15:35:34Z,2017-08-25T15:42:02Z,2017-08-25T15:35:34Z,Desorbed NA,3,3,NA,3,NA,388,AMleafAug5_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AMleafAug5_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2018.5,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T16:11:50Z,2017-08-25T16:18:44Z,2017-08-25T16:11:50Z,Desorbed NA,4,4,NA,4,NA,414,ESleafJul30_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/ESleafJul30_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2176,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T16:48:38Z,2017-08-25T16:55:44Z,2017-08-25T16:48:38Z,Desorbed NA,5,5,NA,5,NA,426,GBleafAug5_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/GBleafAug5_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2208,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T17:25:30Z,2017-08-25T17:32:34Z,2017-08-25T17:25:30Z,Desorbed NA,6,6,NA,6,NA,424,ACleafAug5_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/ACleafAug5_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2212,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T18:02:31Z,2017-08-25T17:50:32Z,2017-08-25T17:50:32Z,Desorbed NA,7,7,NA,7,NA,719,STD3uL0.01_07252017anal.qgd,Standard : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis/STD3uL0.01_07252017anal.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2221,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T18:02:31Z,2017-08-25T18:09:33Z,2017-08-25T18:02:31Z,Desorbed NA,7,7,NA,7,NA,422,Blank2_08252017.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Blank2_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,0,NA,NA,NA,NA,NA
2017-08-25T07:22:12Z,2017-08-25T18:39:37Z,2017-08-25T18:46:41Z,2017-08-25T18:39:37Z,Desorbed NA,8,8,NA,8,NA,424,Lupine1Aug3L_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine1Aug3L_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2226,407340100,FALSE,FALSE,FALSE,4
2017-08-25T07:22:12Z,2017-08-25T19:16:47Z,2017-08-25T19:23:53Z,2017-08-25T19:16:47Z,Desorbed NA,9,9,NA,9,NA,426,Lupine2Aug3L_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine2Aug3L_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2230,534248886,FALSE,FALSE,FALSE,4
